"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AHL","ADRAD HOLDINGS LIMITED","2022-09-30","Automobiles & Components",88718834
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",7834208
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",46225213
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",113540700
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",11058859039
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic","N/A"
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",161713154
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",68722214
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",38152614
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",383474805
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",8426051
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",2341082700
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",48150537
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",13991989
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",10973960
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",7071628174
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",52045787
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",61863456
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",34519315
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",10488090
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",11550434
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",290447420
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",14668947
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",4047863
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",14817762
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",6396133
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",177529667
"ALD","AMPOL LIMITED","1980-12-31","Energy",6722502213
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",292620670
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",418952076
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",317360074
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",20234833991
"ALM","ALMA METALS LIMITED","2007-04-18","Energy",9140008
"ALO","ALLOGGIO GROUP LIMITED","2021-11-29","Consumer Services",44160605
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",5858428976
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",4613801
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",4581319045
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",10196244
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",9473944107
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",27095754
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",17100020
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",225344746
"AMC","AMCOR PLC","1969-08-28","Materials",26415206923
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",8135060
"AME","ALTO METALS LIMITED","2012-12-20","Materials",40445822
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",317517264
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",148492466
"AML","AEON METALS LIMITED.","2007-06-14","Materials",29983517
"AMM","ARMADA METALS LIMITED","2021-12-15","Materials",6656000
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",92272796
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",27935946
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",4050631187
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",26118370
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",10968216
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",40674631
"AN1","ANAGENICS LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",5531660
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",124176440
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",160418386
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",24693441
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",3586222708
"ANO","ADVANCE ZINCTEK LIMITED","2005-02-24","Materials",137972522
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",60883002
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",3776076
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",21697926
"ANZDA","ANZ GROUP HOLDINGS LIMITED","1969-09-30","Banks",0
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",1572130
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",6479125
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",263013499
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",22666801
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",21820102
"APA","APA GROUP","2000-06-13","Utilities",12707456743
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",20311922
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",2736397610
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","2004-09-30","Diversified Financials",11569413
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","2021-11-12","Commercial & Professional Services",2182893031
"APS","ALLUP SILICA LIMITED","2022-05-02","Materials",7775073
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",55203663
"APX","APPEN LIMITED","2015-01-07","Software & Services",287630009
"APZ","ASPEN GROUP","1991-04-11","Real Estate",344488871
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",72935300
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",13202388
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",20079613
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",25200000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",28696863
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",4400500
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",493455520
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",110704823
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",51799288
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",29815391
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",123607629
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",2074704284
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",9925196
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",15239358
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",12723743
"ARF","ARENA REIT.","2013-06-13","Real Estate",1328605773
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6708042529
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",119194427
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",18630532
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",19404040
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",85211352
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",155076539
"ARU","ARAFURA RARE EARTHS LTD","2003-11-05","Materials",874128674
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",33394041
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",373749237
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",24200022
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",764752356
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",406020000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",100063253
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",225885583
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",200303337
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",89082475
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",48621743
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",13238038
"ASR","ASRA MINERALS LIMITED","1986-06-30","Materials",26356708
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",36747477
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",13127687935
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",30828114
"ATA","ATTURRA LIMITED","2021-12-22","Software & Services",219614214
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",108434206
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",24164184
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials",4326710935
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",11124666
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",85231344
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",41619477
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",8350195
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",30483521
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",15520443
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",12857298
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",11464000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",2268191772
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",93355829
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",5250000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",16623069
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1198722968
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",3497788
"AUN","AURUMIN LIMITED","2020-12-09","Materials",11199062
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",25133064
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",6196137
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",99256142
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",27686239
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",32907595
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",58745366
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",68933794
"AVD","AVADA GROUP LIMITED","2021-12-17","Commercial & Professional Services",62278104
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",27568040
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",151583092
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",237959524
"AVJ","AVJENNINGS LIMITED","1994-01-27","Consumer Durables & Apparel",168585752
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",104247005
"AVM","ADVANCE METALS LIMITED","2007-12-20","Materials",5800441
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",305841426
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",4267580
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials","N/A"
"AW1","AMERICAN WEST METALS LIMITED","2021-12-13","Materials",23103675
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4425064161
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",8375014
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",32630693
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",914321230
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",8684840
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Semiconductors & Semiconductor Equipment",145645816
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",35915234
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",26211063
"AYA","ARTRYA LIMITED","2021-11-26","Health Care Equipment & Services",27441398
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",5527732
"AYT","AUSTIN METALS LIMITED","2011-07-06","Materials",8126997
"AZI","ALTAMIN LIMITED","2009-12-24","Materials",30162190
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6884232893
"AZL","ARIZONA LITHIUM LIMITED","1971-07-08","Materials",148992783
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",68690134
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",71860817
"B4P","BEFOREPAY GROUP LIMITED","2022-01-17","Diversified Financials",22069584
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2189210625
"BAS","BASS OIL LIMITED","2004-09-30","Energy",18218374
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",11700969
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",62327688
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",107844695
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",354804066
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",72072442
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",49072148
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",73079320
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",12411794
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",595028475
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",19444932
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",327099710
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",232005803
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",97675972
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",20351169
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",8227472
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials","N/A"
"BDT","BIRDDOG TECHNOLOGY LIMITED","2021-12-20","Technology Hardware & Equipment",31715385
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Pharmaceuticals, Biotechnology & Life Sciences",12686627
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco","N/A"
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",4567675
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5538737656
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",263774672
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Retailing",12081078
"BEZ","BESRA GOLD INC.","2021-10-08","Materials",16123134
"BEZN","BESRA GOLD INC.","2021-10-08","Materials",16123134
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",45932079
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",319140228
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2289377897
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1163931550
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",37818457
"BGE","BRIDGE SAAS LIMITED","2022-10-06","Software & Services",6260494
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",1275894095
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",1131039577
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",17703332
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",5555705
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",231963923259
"BIM","BINDI METALS LIMITED","2022-06-28","Materials",5643000
"BIO","BIOME AUSTRALIA LIMITED","2021-11-30","Household & Personal Products",14993239
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",10675574
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",102966622
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",23450251
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",27471860
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1312342613
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1400292504
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",132656945
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3379832229
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",124823080
"BLD","BORAL LIMITED.","2000-02-21","Materials",3143801994
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",34828344
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",98092163
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",473441381
"BLY","BOART LONGYEAR GROUP LTD","2007-04-05","Materials",520819929
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",4042591
"BM8","BATTERY AGE MINERALS LTD","2020-11-04","Materials","N/A"
"BME","BLACK MOUNTAIN ENERGY LTD","2021-12-23","Energy",8925000
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",6561858
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",17369371
"BML","BOAB METALS LIMITED","2004-07-15","Materials",50373803
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",19163765
"BMN","BANNERMAN ENERGY LTD","2005-04-28","Energy",246752424
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",3415963
"BMR","BALLYMORE RESOURCES LIMITED","2021-09-03","Materials",22660576
"BMT","BEAMTREE HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",79539330
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",60274462
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",54343211
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",24285061
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",52772867
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",8158489
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",140371875
"BOD","BOD SCIENCE LIMITED","2016-10-27","Retailing",22968224
"BOE","BOSS ENERGY LTD","2007-07-25","Energy",701631935
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",62027260
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",4456472618
